manifest_sha256,chunk_index,chunk_file,case_number,case_id,configuration_number,configuration_id,pair_index,eeg_snr_db,meg_snr_db,scenario,surface_centers,deep_index,deep_surface_ratio,correlation,method,status,error,elapsed_seconds,temporal_rank,selected_templates,has_surface_true,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,OASTER-ERP-v4,ok,,2.8341243999893777,3,0,1,0.4952777777777779,0.3423751926953635,0.3428104575163398,nan,2.00007160819964,10.990211159098923,11.066851428702554,nan,nan,0,1.0,nan,0,1,10,9,1
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4580,erp-v3-development-04580-deep_only-eeg+05-meg+05,68,erp-v3-development-source-068-deep_only,24,5,5,deep_only,[],7498,,,OASTER-ERP-v4,ok,,2.3140100999735296,3,0,0,1.0,1.0,nan,1.0,0.019649438189502134,nan,nan,0.0,0.0,1,1.0,0.0,1,0,1027,1026,1
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4598,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,86,erp-v3-development-source-086-deep_plus_surface,24,5,5,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v4,ok,,3.8351819000090472,3,0,1,0.4979166666666667,0.5465959762648783,0.5398247177658942,0.8666666666666667,2.0000025879699272,12.818786216900257,12.18186744690015,15.061465060048166,14.142136031724077,1,3.161003786914522e-05,14.142136031724077,0,0,19,11,8
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4666,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,154,erp-v3-development-source-154-deep_plus_two_surface,24,5,5,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v4,ok,,3.9135567999328487,3,0,1,0.49828282828282827,0.6110368786745056,0.616294476941473,0.6,2.000010510625165,13.598410134193873,14.041292748969306,14.142136204249597,14.142136204249597,1,1.0,14.142136204249597,0,0,9,8,1
