method,subjects,runs_per_subject,n20_left_s1_enrichment_subject_median,n20_subjects_enrichment_above_uniform,n20_peak_distance_to_roi_subject_median_mm,n20_subjects_peak_in_left_s1_run_majority,n20_zero_map_runs,n20_run_map_spearman_subject_median,p30_left_s1_enrichment_subject_median,p30_subjects_enrichment_above_uniform,p30_peak_distance_to_roi_subject_median_mm,p30_subjects_peak_in_left_s1_run_majority,p30_zero_map_runs,p30_run_map_spearman_subject_median
OASTER-ERP-v3,4,3,6.271744475683694,2,7.49282012720561,2,0,0.19692850210057877,34.40913522260078,3,0.0,3,0,0.3514878495048938
MNE,4,3,2.5515785305451546,4,36.1906050137753,0,0,0.22731917282875896,8.363293519804774,4,2.086069986765168,2,0,0.40448505031465487
dSPM,4,3,2.885748773927899,4,9.578890113970775,1,0,0.2817630648316588,6.671824686070536,4,4.172139973530333,1,0,0.4771512793154983
sLORETA,4,3,1.9567063596708567,4,41.06217358801057,0,0,0.23878343581700207,5.79186625857634,4,4.7335035876104,0,0,0.42498192002049817
eLORETA,4,3,3.070485633773237,4,10.121561355451554,2,0,0.24376866364380476,8.56751657228001,4,0.0,3,0,0.4124748179627185
LCMV,4,3,0.0,0,61.79746875379967,0,12,nan,0.0,0,61.79746875379967,0,12,nan
Dipole fitting (grid),4,3,11.555805135387734,3,11.561988547028495,2,0,0.16613424840542648,28.11774480649591,4,0.0,4,0,0.33319138869889087
RAP-MUSIC,4,3,5.180215265384202,2,12.38501369734483,1,0,-0.0005801989365881216,28.34665200593519,4,0.0,4,0,0.33319138869889087
