subject,method,runs,n20_run_map_spearman_median,n20_zero_map_runs,n20_peak_left_s1_run_majority,n20_left_s1_enrichment_run_median,n20_left_s1_mass_pct_run_median,n20_postcentral_laterality_run_median,n20_peak_euclidean_distance_to_left_s1_mm_run_median,p30_run_map_spearman_median,p30_zero_map_runs,p30_peak_left_s1_run_majority,p30_left_s1_enrichment_run_median,p30_left_s1_mass_pct_run_median,p30_postcentral_laterality_run_median,p30_peak_euclidean_distance_to_left_s1_mm_run_median
sm04,OASTER-ERP-v3,3,0.35153889205267336,0,0,0.08835312188056442,0.23879222129882277,0.9218994639755757,14.98564025441122,0.5660318621171252,0,1,32.63282253251416,88.1968176554437,0.9999689367040309,0.0
sm04,MNE,3,0.25639010386134925,0,0,2.531213448709822,6.841117428945465,0.46033629385367375,12.562230406281527,0.44805541962950396,0,0,8.897650163296284,24.04770314404401,0.9757227098199023,4.172139973530336
sm04,dSPM,3,0.29343749766356797,0,0,2.7669980456991277,7.4783730964841295,0.3710637254270983,14.98564025441122,0.5253985486926073,0,0,7.715765493188549,20.853420251860943,0.9739134402990643,4.172139973530336
sm04,sLORETA,3,0.26329339843210753,0,0,1.7850280082786063,4.824400022374612,0.42595771506672203,14.28350113989347,0.4756573667335515,0,0,7.040845616193815,19.0293124761995,0.9741182782383522,4.172139973530336
sm04,eLORETA,3,0.2829932069008214,0,0,2.833423804924507,7.657902175471641,0.4018819778772931,20.24312271090311,0.4491726040342256,0,1,9.148700164587448,24.726216661047157,0.9708755185152754,0.0
sm04,LCMV,3,nan,3,0,0.0,0.0,0.0,61.79746875379968,nan,3,0,0.0,0.0,0.0,61.79746875379968
sm04,Dipole fitting (grid),3,0.3329073383009423,0,0,0.0,0.0,0.0,23.12397709405699,0.33319138869889087,0,1,31.117661240715893,84.10178713706999,1.0,0.0
sm04,RAP-MUSIC,3,0.3329073383009423,0,0,0.0,0.0,0.0,20.24312271090311,0.33319138869889087,0,1,30.79529524820346,83.2305276978472,1.0,0.0
sm06,OASTER-ERP-v3,3,0.025464101335665568,0,0,0.3924974446329413,1.0608039044133548,-0.37511005727843794,93.00069152525603,0.26113520923600586,0,1,36.18544791268741,97.79850787212813,0.9998878856566416,0.0
sm06,MNE,3,0.2937941753240471,0,0,2.211542204387741,5.97714109293984,0.6180090903439781,36.874087584978994,0.6147710974543638,0,1,9.827339254694728,26.5603763640398,0.9354630694254412,0.0
sm06,dSPM,3,0.32790169358113436,0,0,1.9099559302377203,5.162043054696542,0.5478125946658802,36.874087584978994,0.6993500656215583,0,1,7.043179139741441,19.03561929659849,0.9558067312687387,0.0
sm06,sLORETA,3,0.30504358232654966,0,0,1.4987118418964056,4.050572545665961,0.5301910318460695,36.874087584978994,0.6483209884449794,0,0,7.294381417713559,19.71454437219881,0.9315044843630632,4.5394227752413565
sm06,eLORETA,3,0.2933476899246946,0,0,2.5648637119556947,6.9320640863667435,0.6216624006158764,36.874087584978994,0.6374645745629658,0,1,9.37148401080674,25.32833516434254,0.9477472506402492,0.0
sm06,LCMV,3,nan,3,0,0.0,0.0,0.0,61.79746875379968,nan,3,0,0.0,0.0,0.0,61.79746875379968
sm06,Dipole fitting (grid),3,-0.0006388414900893542,0,0,3.178864378248399,8.591525346617296,1.0,29.386210020081442,0.33319138869889087,0,1,25.808332150299275,69.75224905486292,1.0,0.0
sm06,RAP-MUSIC,3,-0.0005215563830868891,0,0,0.0,0.0,0.0,61.618188649694694,0.33319138869889087,0,1,25.89800876366692,69.99461828018086,1.0,0.0
sm07,OASTER-ERP-v3,3,0.10358959836242812,0,1,12.150991506734448,32.84051758576878,0.9759531170905817,0.0,0.30713307340181306,0,0,0.13595612177055183,0.3674489777582482,0.8486284386497306,12.375811021930424
sm07,MNE,3,0.09752464223730486,0,0,2.5719436123804873,6.951198952379696,0.3087275029415275,35.50712244257159,0.14904675038432913,0,0,2.7973586668698514,7.560428829377978,0.22193686824811126,82.78680952905685
sm07,dSPM,3,0.062407589988082615,0,0,3.004499502156671,8.12026892474776,0.5271335618274928,4.172139973530331,0.09529993558871301,0,0,2.957396423217021,7.9929633059919505,0.2728228981246725,4.172139973530331
sm07,sLORETA,3,0.05008685152202407,0,0,2.128384711063107,5.752391110981371,0.2779722936539235,45.25025959104215,0.07815263353061346,0,0,2.4035589875590175,6.496105371781129,0.24278094468969896,49.91393356201833
sm07,eLORETA,3,0.07531432877634575,0,1,3.307547462621967,8.939317466545857,0.5209369876640199,0.0,0.09345060596461681,0,1,3.3930141385101775,9.170308482459939,0.3169780386541956,0.0
sm07,LCMV,3,nan,3,0,0.0,0.0,0.0,61.79746875379966,nan,3,0,0.0,0.0,0.0,61.79746875379966
sm07,Dipole fitting (grid),3,-0.0006388414900893542,0,1,20.85344055003381,56.36065013522652,1.0,0.0,-0.0005215563830868891,0,1,20.50644557942835,55.42282589034689,1.0,0.0
sm07,RAP-MUSIC,3,-0.0006388414900893542,0,0,10.360430530768404,28.00116359667136,1.0,4.52690468378655,-0.0003010566340280266,0,1,25.884927362809297,69.95926314272783,1.0,0.0
sm12,OASTER-ERP-v3,3,0.2902674058387294,0,1,30.919084465921895,83.56509315114026,0.9999966685494737,0.0,0.39584262560797456,0,1,36.308077456469036,98.12993907153793,0.9999822335253569,0.0
sm12,MNE,3,0.19824824179616868,0,0,3.8478126807601343,10.399493731784148,0.8485047144917852,67.11223330353657,0.3609146809998058,0,1,7.8289368763132625,21.15928885490071,0.9686235899589679,0.0
sm12,dSPM,3,0.2700886319997496,0,1,5.41415614077437,14.632854434525326,0.8401043349882452,0.0,0.42890400993838923,0,0,6.300470232399631,17.028297925404413,0.9695395877479215,4.927584399979445
sm12,sLORETA,3,0.2142734732018966,0,0,2.410836658420414,6.515774752487606,0.8425816373578744,56.14916304387995,0.3743064733074448,0,0,4.542886900958865,12.278072705294232,0.964489306426827,4.927584399979445
sm12,eLORETA,3,0.2045441203867881,0,1,5.2878162876374795,14.291395371993188,0.8217964977308526,0.0,0.3757770318912114,0,0,7.986332979972572,21.584683729655602,0.961401549182334,4.927584399979445
sm12,LCMV,3,nan,3,0,0.0,0.0,0.0,61.79746875379965,nan,3,0,0.0,0.0,0.0,61.79746875379965
sm12,Dipole fitting (grid),3,0.33304936349991654,0,1,19.93274589252707,53.87228619601911,1.0,0.0,0.33319138869889087,0,1,30.427157462692545,82.23556070997986,1.0,0.0
sm12,RAP-MUSIC,3,-0.0006388414900893542,0,1,32.10780977193634,86.7778642484766,1.0,0.0,0.6665956641377461,0,1,32.25791558370226,87.18355563162773,1.0,0.0
