scenario,method,active_count,surface_active_count,deep_active_count,auc,rmse,sd_mm,dle_mm
deep_only,SISSES_EEG_MEG_direct,10,0,10,0.9992012779552716,1.8689110585514284,14.373997646799344,10.000000548548492
deep_only,SISSES_adaptive_threshold_0.110,7,0,7,0.9992012779552716,1.8682305953990754,14.362188333434023,10.000000548548492
deep_only,SISSES_evidence_compact,7,0,7,0.9992012779552716,1.8682305953990754,14.362188333434023,10.000000548548492
deep_only,SISSES_component_refit_v2,8,4,4,1.0,0.2601826740860955,10.65448743247388,0.0
deep_only,SISSES_component_refit_v3_localize,8,4,4,1.0,0.2601826740860955,10.65448743247388,0.0
deep_only,SISSES_component_refit_v4_deep_rescue,9,4,5,1.0,0.6001388715077848,17.412013959061973,0.0
deep_only,SISSES_component_refit_v5_compact_deep_prior,9,4,5,1.0,0.6084569823795073,17.5188689706515,0.0
deep_only,SISSES_component_refit_v6_sisses_refit_weak,9,4,5,1.0,0.3507379603697654,12.90315883914845,0.0
deep_only,SISSES_component_refit_v6_sisses_refit_mid,9,4,5,1.0,0.350549580549178,12.893072046028765,0.0
deep_only,SISSES_component_refit_v6_sisses_refit_strong,9,4,5,1.0,0.35023049356529756,12.873383337581675,0.0
deep_only,SISSES_component_refit_v7_tbf_refit,5,0,5,1.0,0.15470387613142972,7.1446251327058246,0.0
deep_only,SISSES_component_refit_v8_protected_sisses_no_protect,5,0,5,1.0,0.000859733793632312,0.2218171412380349,0.0
deep_only,SISSES_component_refit_v8_protected_sisses_p050,5,0,5,1.0,0.0008696608918283484,0.2292108430994635,0.0
deep_only,SISSES_component_refit_v8_protected_sisses_p025,5,0,5,1.0,0.0008851731423763559,0.2385300056484173,0.0
deep_only,SISSES_component_refit_v8_protected_sisses_p010,5,0,5,1.0,0.0009083066943677041,0.24712247596003795,0.0
deep_only,SISSES_weighted_multilayer,4,0,4,0.9988019169329073,2.0000000000000004,14.395830589689021,10.000000548548492
deep_only,SISSES_protected_multilayer,4,0,4,0.9988019169329073,2.0000000000000004,14.395830280892113,10.000000548548492
deep_only,SISSES_MEG_only,6,2,4,0.9985356762513312,1.9999999999999996,15.919420038767576,10.000000548548492
deep_only,SISSES_EEG_only,13,13,0,0.9970713525026624,2.0000000000000004,56.94443763826899,53.73695068893386
surface_only,SISSES_EEG_MEG_direct,35,35,0,0.9340523311837521,0.5733904142570118,3.67572980997336,6.516528132745676
surface_only,SISSES_adaptive_threshold_0.110,32,32,0,0.9341190423245126,0.568966165358623,3.600539621849225,6.516528132745676
surface_only,SISSES_evidence_compact,32,32,0,0.9341190423245126,0.568966165358623,3.600539621849225,6.516528132745676
surface_only,SISSES_component_refit_v2,52,52,0,0.9990141575865392,0.5515878248808868,4.1814627719355855,6.516528132745676
surface_only,SISSES_component_refit_v3_localize,52,52,0,0.9990141575865392,0.5515878248808868,4.1814627719355855,6.516528132745676
surface_only,SISSES_component_refit_v4_deep_rescue,53,52,1,0.9989770958416723,0.5570754725466427,6.17115462271178,6.516528132745676
surface_only,SISSES_component_refit_v5_compact_deep_prior,53,52,1,0.9989770958416723,0.5572217197721187,6.22113074518956,6.516528132745676
surface_only,SISSES_component_refit_v6_sisses_refit_weak,53,52,1,0.9988733229560448,0.5983477641379192,7.620581547336596,6.516528132745676
surface_only,SISSES_component_refit_v6_sisses_refit_mid,53,52,1,0.9988807353050182,0.5978471602117261,7.618744969345225,6.516528132745676
surface_only,SISSES_component_refit_v6_sisses_refit_strong,53,52,1,0.9988807353050182,0.5961846824541104,7.616706427560251,6.516528132745676
surface_only,SISSES_component_refit_v7_tbf_refit,48,47,1,0.9991475798680602,0.5413999536119823,3.6954539453890565,6.516528132745676
surface_only,SISSES_component_refit_v8_protected_sisses_no_protect,33,32,1,0.999962938255133,0.15729831701111488,1.437681706791305,4.5907390672515085
surface_only,SISSES_component_refit_v8_protected_sisses_p050,33,32,1,0.999962938255133,0.15717972692929819,1.4662226761744168,4.5907390672515085
surface_only,SISSES_component_refit_v8_protected_sisses_p025,33,32,1,0.999962938255133,0.1573168131029818,1.4823853531161395,4.5907390672515085
surface_only,SISSES_component_refit_v8_protected_sisses_p010,33,32,1,0.999962938255133,0.15837066155691062,1.505517755006242,4.5907390672515085
surface_only,SISSES_weighted_multilayer,30,30,0,0.9120673041286784,0.4897356234623818,3.368846252557954,6.516528132745676
surface_only,SISSES_protected_multilayer,26,26,0,0.9122007264101994,0.5668259888309214,3.2760357318281947,6.516528132745676
