method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_score,deep_peak_distance_mm,active_count,deep_sensitivity,deep_specificity,deep_balanced_accuracy
Dipole fitting (grid),-10,-10,scenario_macro,185,4,0.6348916931059402,0.6382291660520922,1.4992864128173364,21.956808977441924,15.561779017983218,6.035534021652564,6.035534021652564,21.956808977441924,15.561779017983218,153.84334865111654,153.84334865111654,0.25735294117647056,6.035534021652564,2.1776960784313726,0.338235294117647,1.0,0.6691176470588235
Dipole fitting (grid),-10,-5,scenario_macro,185,4,0.6404274750871239,0.6409020524000701,1.356447594193017,13.406009007446817,11.058358570242623,4.706742228012222,4.706742228012222,13.406009007446817,11.058358570242623,144.9626934019371,144.9626934019371,0.28459689278255557,4.706742228012222,2.0769607843137257,0.37254901960784315,1.0,0.6862745098039216
Dipole fitting (grid),-10,0,scenario_macro,185,4,0.6583911987517039,0.6438893342420948,1.2529504540004248,8.549479879845505,10.7339607352571,1.5338873942350393,1.5338873942350393,8.549479879845505,10.7339607352571,120.82755715232294,120.82755715232294,0.33398631612776825,1.5338873942350393,2.0085784313725488,0.4754901960784314,0.9705882352941176,0.7230392156862745
Dipole fitting (grid),-10,5,scenario_macro,185,4,0.6634174424292322,0.6423940500501505,1.249330597126546,7.252574428760753,11.701651369739595,0.9839630021659994,0.9839630021659994,7.252574428760753,11.701651369739595,109.4037765075235,109.4037765075235,0.33739732298696196,0.9839630021659994,2.0308823529411764,0.5196078431372549,0.9852941176470589,0.7524509803921569
Dipole fitting (grid),-10,10,scenario_macro,185,4,0.6702690709657027,0.6435145062875438,1.2148708800889287,8.352356934707567,11.486013485149343,1.7094368262290907,1.7094368262290907,8.352356934707567,11.486013485149343,95.87404577557369,95.87404577557369,0.3556143914915607,1.7094368262290907,2.0470588235294116,0.5686274509803922,1.0,0.7843137254901962
Dipole fitting (grid),-10,15,scenario_macro,185,4,0.6661862510417729,0.6424810927131314,1.236253253489266,7.903175810363707,11.783209416776373,1.2456617585089658,1.2456617585089658,7.903175810363707,11.783209416776373,107.06876428530813,107.06876428530813,0.3306078327820944,1.2456617585089658,2.0379901960784315,0.5343137254901961,1.0,0.767156862745098
Dipole fitting (grid),-10,20,scenario_macro,185,4,0.6681090259052264,0.642385038802741,1.2254595935599188,7.747550574686744,11.673643899918446,1.5549559465282023,1.5549559465282023,7.747550574686744,11.673643899918446,101.45110044435506,101.45110044435506,0.3440069652555536,1.5549559465282023,2.0046568627450982,0.5588235294117647,0.9852941176470589,0.7720588235294118
Dipole fitting (grid),-5,-10,scenario_macro,185,4,0.6208918164756551,0.623942642781411,1.4642754012109562,10.460159783539096,11.099307084688666,4.202200476763315,4.202200476763315,10.460159783539096,11.099307084688666,154.23877349947546,154.23877349947546,0.25572261030945376,4.202200476763315,1.864705882352941,0.338235294117647,1.0,0.6691176470588235
Dipole fitting (grid),-5,-5,scenario_macro,185,4,0.6422515723661733,0.6417492026790806,1.3325749282972064,8.152275954499892,9.953590302912792,0.8333333490749447,0.8333333490749447,8.152275954499892,9.953590302912792,146.8908152832961,146.8908152832961,0.2783730134973937,0.8333333490749447,1.8720588235294118,0.37254901960784315,0.9852941176470589,0.678921568627451
Dipole fitting (grid),-5,0,scenario_macro,185,4,0.6505069374075069,0.6429516278290308,1.2646827823913305,6.597140727831974,9.630012371833734,2.254725510271411,2.254725510271411,6.597140727831974,9.630012371833734,127.78771599735516,127.78771599735516,0.31717780650868754,2.254725510271411,1.9919117647058824,0.446078431372549,0.9852941176470589,0.7156862745098039
